city_id,city_name,climate_group,outer_fold,model_name,source_reference_run_dir,training_sample_rows_per_city,prediction_scope,row_count,valid_cell_count,scale_label,smoothing_radius_m,smoothing_method,smoothing_sigma_m,threshold_fraction,spearman_surface_corr,top_region_overlap_fraction,observed_mass_captured,centroid_distance_m,median_nearest_region_distance_m,observed_top_cell_count,predicted_top_cell_count,overlap_cell_count,grid_cell_size_m,projected_crs,grid_reconstruction_status
12,Columbia,hot_humid,2,random_forest,C:\Users\golde\OneDrive - University of Virginia\STAT5630_FinalProject_DataProcessing\outputs\modeling\random_forest\frontier_allfolds_s5000_frontier-check_2026-04-11_173430,5000,full_city,1055916,1055916,fine,150.0,gaussian,75.0,0.1,0.0767847168435304,0.07900531879563256,0.13660490491476646,7172.037881965408,591.6924876994806,105592,105592,15463,30.0,EPSG:32617,ok
12,Columbia,hot_humid,2,random_forest,C:\Users\golde\OneDrive - University of Virginia\STAT5630_FinalProject_DataProcessing\outputs\modeling\random_forest\frontier_allfolds_s5000_frontier-check_2026-04-11_173430,5000,full_city,1055916,1055916,medium,300.0,gaussian,150.0,0.1,0.06035747207894872,0.08229554236749588,0.13458059149891427,7624.163619230853,751.7978451685001,105592,105592,16058,30.0,EPSG:32617,ok
12,Columbia,hot_humid,2,random_forest,C:\Users\golde\OneDrive - University of Virginia\STAT5630_FinalProject_DataProcessing\outputs\modeling\random_forest\frontier_allfolds_s5000_frontier-check_2026-04-11_173430,5000,full_city,1055916,1055916,broad,600.0,gaussian,300.0,0.1,0.03257807342883052,0.07720008773316875,0.12708796754031493,8331.138193523695,1082.081327812286,105592,105592,15135,30.0,EPSG:32617,ok
17,Jacksonville,hot_humid,2,random_forest,C:\Users\golde\OneDrive - University of Virginia\STAT5630_FinalProject_DataProcessing\outputs\modeling\random_forest\frontier_allfolds_s5000_frontier-check_2026-04-11_173430,5000,full_city,1664542,1664542,fine,150.0,gaussian,75.0,0.1,0.39330828781004856,0.16446070544121558,0.2640496128075804,4351.726038834149,212.13203435596427,166455,166455,47018,30.0,EPSG:32617,ok
17,Jacksonville,hot_humid,2,random_forest,C:\Users\golde\OneDrive - University of Virginia\STAT5630_FinalProject_DataProcessing\outputs\modeling\random_forest\frontier_allfolds_s5000_frontier-check_2026-04-11_173430,5000,full_city,1664542,1664542,medium,300.0,gaussian,150.0,0.1,0.4358380076266446,0.18142426726570068,0.2776037161561633,5178.017851799206,301.4962686336267,166455,166455,51123,30.0,EPSG:32617,ok
17,Jacksonville,hot_humid,2,random_forest,C:\Users\golde\OneDrive - University of Virginia\STAT5630_FinalProject_DataProcessing\outputs\modeling\random_forest\frontier_allfolds_s5000_frontier-check_2026-04-11_173430,5000,full_city,1664542,1664542,broad,600.0,gaussian,300.0,0.1,0.45998047281449067,0.20025525839504482,0.2831062730538262,6096.294777364905,458.9117562233506,166455,166455,55544,30.0,EPSG:32617,ok
21,Seattle,mild_cool,2,random_forest,C:\Users\golde\OneDrive - University of Virginia\STAT5630_FinalProject_DataProcessing\outputs\modeling\random_forest\frontier_allfolds_s5000_frontier-check_2026-04-11_173430,5000,full_city,2831875,2831875,fine,150.0,gaussian,75.0,0.1,0.4277324341553986,0.1762839151311745,0.28840216641010846,7573.6649812631085,152.97058540778355,283188,283188,84880,30.0,EPSG:32610,ok
21,Seattle,mild_cool,2,random_forest,C:\Users\golde\OneDrive - University of Virginia\STAT5630_FinalProject_DataProcessing\outputs\modeling\random_forest\frontier_allfolds_s5000_frontier-check_2026-04-11_173430,5000,full_city,2831875,2831875,medium,300.0,gaussian,150.0,0.1,0.4803919090315823,0.19371251048547208,0.29681695661338864,7112.457007753835,216.33307652783935,283188,283188,91910,30.0,EPSG:32610,ok
21,Seattle,mild_cool,2,random_forest,C:\Users\golde\OneDrive - University of Virginia\STAT5630_FinalProject_DataProcessing\outputs\modeling\random_forest\frontier_allfolds_s5000_frontier-check_2026-04-11_173430,5000,full_city,2831875,2831875,broad,600.0,gaussian,300.0,0.1,0.5149920674680672,0.20468622379526272,0.28626070198027764,6758.2560129590165,318.90437438203946,283188,283188,96232,30.0,EPSG:32610,ok
3,Las Vegas,hot_arid,3,random_forest,C:\Users\golde\OneDrive - University of Virginia\STAT5630_FinalProject_DataProcessing\outputs\modeling\random_forest\frontier_allfolds_s5000_frontier-check_2026-04-11_173430,5000,full_city,1718669,1718669,fine,150.0,gaussian,75.0,0.1,0.25766596202041137,0.29357528864536137,0.43831460699228386,1853.5746897178199,67.08203932499369,171867,171867,78010,30.0,EPSG:32611,ok
