city_id,city_name,climate_group,model_name,repeat_count,sample_rows_per_city_cap,effective_city_row_count,within_city_pr_auc_mean,within_city_pr_auc_std,within_city_recall_at_top_10pct_mean,within_city_recall_at_top_10pct_std,within_city_best_inner_cv_average_precision_mean
25,Los Angeles,mild_cool,city_prevalence_baseline,3,20000,20000,0.10000000000000002,0.0,0.105,0.013228756555322957,
25,Los Angeles,mild_cool,logistic_saga,3,20000,20000,0.351943485245286,0.015145538755042659,0.4091666666666667,0.011273124382057216,0.34867589309072566
25,Los Angeles,mild_cool,random_forest,3,20000,20000,0.6045919548856052,0.037421395707475755,0.5741666666666667,0.03511884584284249,0.5951773759024093
28,Minneapolis,mild_cool,city_prevalence_baseline,3,20000,20000,0.10000000000000002,0.0,0.105,0.013228756555322957,
28,Minneapolis,mild_cool,logistic_saga,3,20000,20000,0.1682172072726084,0.01139861469696191,0.17250000000000001,0.015206906325745546,0.17887700886557467
28,Minneapolis,mild_cool,random_forest,3,20000,20000,0.3293023352309455,0.017363689698443943,0.3458333333333334,0.011273124382057204,0.327658251768655
22,Portland,mild_cool,city_prevalence_baseline,3,20000,20000,0.10000000000000002,0.0,0.105,0.013228756555322957,
22,Portland,mild_cool,logistic_saga,3,20000,20000,0.29840673751172314,0.010849737935278221,0.36333333333333334,0.026020824993326655,0.31585891233554686
22,Portland,mild_cool,random_forest,3,20000,20000,0.40294538205717223,0.03235243259252465,0.4025,0.015206906325745529,0.4198893893958062
26,San Diego,mild_cool,city_prevalence_baseline,3,20000,20000,0.10000000000000002,0.0,0.105,0.013228756555322957,
26,San Diego,mild_cool,logistic_saga,3,20000,20000,0.3041470625786447,0.013993973740620771,0.3658333333333333,0.013768926368215273,0.3106661725395265
26,San Diego,mild_cool,random_forest,3,20000,20000,0.4784801606730745,0.03726462232121675,0.4583333333333333,0.029825883613622123,0.45686443235859414
23,San Francisco,mild_cool,city_prevalence_baseline,3,20000,20000,0.10000000000000002,0.0,0.105,0.013228756555322957,
23,San Francisco,mild_cool,logistic_saga,3,20000,20000,0.2624827088642814,0.021971748979648254,0.25833333333333336,0.010103629710818459,0.25884943702191304
23,San Francisco,mild_cool,random_forest,3,20000,20000,0.4134181597484779,0.013791840452618581,0.39749999999999996,0.011456439237389593,0.39110616732048403
24,San Jose,mild_cool,city_prevalence_baseline,3,20000,20000,0.10000000000000002,0.0,0.105,0.013228756555322957,
24,San Jose,mild_cool,logistic_saga,3,20000,20000,0.24508684076245144,0.020658680247065374,0.2591666666666667,0.03185252475602733,0.2501375172421197
24,San Jose,mild_cool,random_forest,3,20000,20000,0.5927961297557699,0.015287073106080636,0.5533333333333333,0.018929694486000865,0.5687798106819142
21,Seattle,mild_cool,city_prevalence_baseline,3,20000,20000,0.10000000000000002,0.0,0.105,0.013228756555322957,
21,Seattle,mild_cool,logistic_saga,3,20000,20000,0.2893265336011254,0.039376600276287935,0.35250000000000004,0.03783186487605392,0.2807088202895594
21,Seattle,mild_cool,random_forest,3,20000,20000,0.3661193734040924,0.0565213443511412,0.38083333333333336,0.03875671984744495,0.3550078803118259
